the number of bases of the vector space Z^3_2 over Z_2 is 168 

the vectors of each such basis are:
((0, 0, 1), (0, 1, 0), (1, 0, 0))
((0, 0, 1), (0, 1, 0), (1, 0, 1))
((0, 0, 1), (0, 1, 0), (1, 1, 0))
((0, 0, 1), (0, 1, 0), (1, 1, 1))
((0, 0, 1), (0, 1, 1), (1, 0, 0))
((0, 0, 1), (0, 1, 1), (1, 0, 1))
((0, 0, 1), (0, 1, 1), (1, 1, 0))
((0, 0, 1), (0, 1, 1), (1, 1, 1))
((0, 0, 1), (1, 0, 0), (0, 1, 0))
((0, 0, 1), (1, 0, 0), (0, 1, 1))
((0, 0, 1), (1, 0, 0), (1, 1, 0))
((0, 0, 1), (1, 0, 0), (1, 1, 1))
((0, 0, 1), (1, 0, 1), (0, 1, 0))
((0, 0, 1), (1, 0, 1), (0, 1, 1))
((0, 0, 1), (1, 0, 1), (1, 1, 0))
((0, 0, 1), (1, 0, 1), (1, 1, 1))
((0, 0, 1), (1, 1, 0), (0, 1, 0))
((0, 0, 1), (1, 1, 0), (0, 1, 1))
((0, 0, 1), (1, 1, 0), (1, 0, 0))
((0, 0, 1), (1, 1, 0), (1, 0, 1))
((0, 0, 1), (1, 1, 1), (0, 1, 0))
((0, 0, 1), (1, 1, 1), (0, 1, 1))
((0, 0, 1), (1, 1, 1), (1, 0, 0))
((0, 0, 1), (1, 1, 1), (1, 0, 1))
((0, 1, 0), (0, 0, 1), (1, 0, 0))
((0, 1, 0), (0, 0, 1), (1, 0, 1))
((0, 1, 0), (0, 0, 1), (1, 1, 0))
((0, 1, 0), (0, 0, 1), (1, 1, 1))
((0, 1, 0), (0, 1, 1), (1, 0, 0))
((0, 1, 0), (0, 1, 1), (1, 0, 1))
((0, 1, 0), (0, 1, 1), (1, 1, 0))
((0, 1, 0), (0, 1, 1), (1, 1, 1))
((0, 1, 0), (1, 0, 0), (0, 0, 1))
((0, 1, 0), (1, 0, 0), (0, 1, 1))
((0, 1, 0), (1, 0, 0), (1, 0, 1))
((0, 1, 0), (1, 0, 0), (1, 1, 1))
((0, 1, 0), (1, 0, 1), (0, 0, 1))
((0, 1, 0), (1, 0, 1), (0, 1, 1))
((0, 1, 0), (1, 0, 1), (1, 0, 0))
((0, 1, 0), (1, 0, 1), (1, 1, 0))
((0, 1, 0), (1, 1, 0), (0, 0, 1))
((0, 1, 0), (1, 1, 0), (0, 1, 1))
((0, 1, 0), (1, 1, 0), (1, 0, 1))
((0, 1, 0), (1, 1, 0), (1, 1, 1))
((0, 1, 0), (1, 1, 1), (0, 0, 1))
((0, 1, 0), (1, 1, 1), (0, 1, 1))
((0, 1, 0), (1, 1, 1), (1, 0, 0))
